,DateTime,Close,WAP,Volume,High,Low,Time Received,VWAP
330,2022-05-03 09:30:00.000000,7.64,7.56342,4927,7.85,7.36,2022-05-04 00:29:02.157299,7.9196537985237505
331,2022-05-03 09:31:00.000000,7.61,7.6219,2452,7.75,7.511,2022-05-04 00:29:02.157299,7.895166301144927
332,2022-05-03 09:32:00.000000,7.596,7.5494,979,7.6343,7.5,2022-05-04 00:29:02.157299,7.884985250024497
333,2022-05-03 09:33:00.000000,7.385,7.33731,2954,7.6,7.14,2022-05-04 00:29:02.157299,7.840110315450836
334,2022-05-03 09:34:00.000000,7.22,7.29773,1635,7.41,7.17,2022-05-04 00:29:02.158296,7.813479049025735
335,2022-05-03 09:35:00.000000,7.4,7.28841,2219,7.4,7.16,2022-05-04 00:29:02.158296,7.784219730126921
336,2022-05-03 09:36:00.000000,7.3192,7.37383,1635,7.44,7.3,2022-05-04 00:29:02.158296,7.766172232462879
337,2022-05-03 09:37:00.000000,7.3716,7.30981,1231,7.4,7.2201,2022-05-04 00:29:02.158296,7.752863293704965
338,2022-05-03 09:38:00.000000,7.5347,7.45626,3308,7.58,7.31,2022-05-04 00:29:02.158296,7.731773301375415
339,2022-05-03 09:39:00.000000,7.4691,7.50167,3274,7.7,7.35,2022-05-04 00:29:02.158296,7.7160290280829775
340,2022-05-03 09:40:00.000000,7.34,7.3706,1194,7.47,7.28,2022-05-04 00:29:02.158296,7.707267951678562
341,2022-05-03 09:41:00.000000,7.27,7.31815,1283,7.37,7.22,2022-05-04 00:29:02.158296,7.696333170550491
342,2022-05-03 09:42:00.000000,7.1522,7.15713,2420,7.31,7.1,2022-05-04 00:29:02.158296,7.672542977915139
343,2022-05-03 09:43:00.000000,7.218,7.21758,922,7.2899,7.1501,2022-05-04 00:29:02.158296,7.664612755256965
344,2022-05-03 09:44:00.000000,7.1901,7.14838,1373,7.24,7.1,2022-05-04 00:29:02.158296,7.652222036437622
345,2022-05-03 09:45:00.000000,6.98,7.05112,2241,7.1996,6.92,2022-05-04 00:29:02.158296,7.627584726316912
346,2022-05-03 09:46:00.000000,7.05,6.96181,2876,7.07,6.9,2022-05-04 00:29:02.158296,7.5974106811755835
